led_id,hex,bits
84,0x0918ac,010010001100010101100
85,0x124733,100100100011100110011
86,0x19bac6,110011011101011000110
87,0x124728,100100100011100101000
88,0x0522d3,001010010001011010011
89,0x1b892d,110111000100100101101
90,0x14d2e3,101001101001011100011
91,0x0d2c99,011010010110010011001
92,0x12234e,100100010001101001110
93,0x0da4a2,011011010010010100010
94,0x1ae35d,110101110001101011101
95,0x056cee,001010110110011101110
96,0x16b298,101101011001010011000
97,0x0d49d5,011010100100111010101
98,0x11a4b2,100011010010010110010
99,0x026d69,000100110110101101001
100,0x199224,110011001001000100100
101,0x0668c7,001100110100011000111
102,0x19565c,110010101011001011100
103,0x0eab72,011101010101101110010
104,0x114e88,100010100111010001000
105,0x04d96d,001001101100101101101
106,0x03a6b3,000111010011010110011
107,0x1d716c,111010111000101101100
108,0x16c691,101101100011010010001
109,0x0b2a6b,010110010101001101011
110,0x18d134,110001101000100110100
111,0x1628e2,101100010100011100010
112,0x05db11,001011101101100010001
113,0x1624e6,101100010010011100110
114,0x0cda4d,011001101101001001101
115,0x0b2ab1,010110010101010110001
116,0x16d11a,101101101000100011010
117,0x1124e4,100010010010011100100
118,0x06453b,001100100010100111011
119,0x1988ca,110011000100011001010
120,0x03a627,000111010011000100111
121,0x145b58,101000101101101011000
122,0x091ca7,010010001110010100111
123,0x16b15a,101101011000101011010
124,0x0d4e97,011010100111010010111
125,0x13396b,100110011100101101011
126,0x0c6ec6,011000110111011000110
127,0x0a9371,010101001001101110001
128,0x1c6ca6,111000110110010100110
129,0x0988db,010011000100011011011
130,0x12762a,100100111011000101010
131,0x058b8d,001011000101110001101
132,0x1a36ca,110100011011011001010
133,0x16dd31,101101101110100110001
134,0x0338c7,000110011100011000111
135,0x19a738,110011010011100111000
136,0x0648e2,001100100100011100010
137,0x18bb1c,110001011101100011100
138,0x16cea9,101101100111010101001
139,0x093912,010010011100100010010
140,0x04c6ed,001001100011011101101
141,0x13ab16,100111010101100010110
142,0x18d4e9,110001101010011101001
143,0x0d2315,011010010001100010101
144,0x11d8ec,100011101100011101100
145,0x0e4716,011100100011100010110
146,0x1339c9,100110011100111001001
147,0x04d597,001001101010110010111
148,0x1a26c9,110100010011011001001
149,0x04e922,001001110100100100010
150,0x0236c9,000100011011011001001
151,0x0588b6,001011000100010110110
152,0x0aee29,010101110111000101001
153,0x1452d2,101000101001011010010
154,0x1389ac,100111000100110101100
155,0x116291,100010110001010010001
156,0x1c94ee,111001001010011101110
157,0x0b49d1,010110100100111010001
158,0x1ab22a,110101011001000101010
159,0x0d25c4,011010010010111000100
160,0x1a4e38,110100100111000111000
161,0x0291a7,000101001000110100111
162,0x15ce52,101011100111001010010
163,0x18b889,110001011100010001001
164,0x125166,100100101000101100110
165,0x148a91,101001000101010010001
166,0x0d3524,011010011010100100100
167,0x14c689,101001100011010001001
168,0x0a38b6,010100011100010110110
169,0x154729,101010100011100101001
170,0x0eb917,011101011100100010111
171,0x15c628,101011100011000101000
172,0x0a51d4,010100101000111010100
173,0x11172a,100010001011100101010
174,0x02d8c5,000101101100011000101
175,0x1d671c,111010110011100011100
176,0x0698d7,001101001100011010111
177,0x1a53aa,110100101001110101010
178,0x118e56,100011000111001010110
179,0x1b3499,110110011010010011001
180,0x14a264,101001010001001100100
181,0x074d1b,001110100110100011011
182,0x12aea4,100101010111010100100
183,0x1544da,101010100010011011010
184,0x1ae535,110101110010100110101
185,0x156ae8,101010110101011101000
186,0x06a51b,001101010010100011011
187,0x0c5344,011000101001101000100
188,0x1b2c9a,110110010110010011010
189,0x15d55d,101011101010101011101
190,0x0acab2,010101100101010110010
191,0x1724ec,101110010010011101100
192,0x099a59,010011001101001011001
193,0x116db6,100010110110110110110
194,0x0c94cd,011001001010011001101
195,0x156d31,101010110110100110001
196,0x088ecd,010001000111011001101
197,0x14512a,101000101000100101010
198,0x033691,000110011011010010001
199,0x196c6e,110010110110001101110
200,0x0e899c,011101000100110011100
201,0x0d74a3,011010111010010100011
202,0x148acc,101001000101011001100
203,0x1a6971,110100110100101110001
204,0x14a6ca,101001010011011001010
205,0x17692d,101110110100100101101
206,0x1a92b8,110101001001010111000
207,0x054913,001010100100100010011
208,0x1b16dc,110110001011011011100
209,0x1ce72a,111001110011100101010
210,0x0718d2,001110001100011010010
211,0x12ec6d,100101110110001101101
212,0x0b1b92,010110001101110010010
213,0x14a22e,101001010001000101110
214,0x1b9cb9,110111001110010111001
215,0x0a62d6,010100110001011010110
216,0x168e25,101101000111000100101
217,0x05b36e,001011011001101101110
218,0x1acd98,110101100110110011000
219,0x0d2225,011010010001000100101
220,0x1a9512,110101001010100010010
221,0x0c4ac9,011000100101011001001
222,0x131316,100110001001100010110
223,0x0dc4eb,011011100010011101011
224,0x12d316,100101101001100010110
225,0x0d2dca,011010010110111001010
226,0x14cab3,101001100101010110011
227,0x099155,010011001000101010101
228,0x162eb6,101100010111010110110
229,0x11d148,100011101000101001000
230,0x0526b6,001010010011010110110
231,0x0a574b,010100101011101001011
232,0x151cba,101010001110010111010
233,0x0b6375,010110110001101110101
234,0x1d164a,111010001011001001010
235,0x022999,000100010100110011001
236,0x18db66,110001101101101100110
237,0x1728d1,101110010100011010001
238,0x1aceac,110101100111010101100
239,0x133ad2,100110011101011010010
240,0x0cc98d,011001100100110001101
241,0x03a263,000111010001001100011
242,0x1959b8,110010101100110111000
243,0x16e6c6,101101110011011000110
244,0x114bbb,100010100101110111011
245,0x0d9c44,011011001110001000100
246,0x03232b,000110010001100101011
247,0x08ccd6,010001100110011010110
248,0x05362a,001010011011000101010
249,0x18ccd9,110001100110011011001
250,0x075bb6,001110101101110110110
251,0x0a6719,010100110011100011001
252,0x171ae4,101110001101011100100
253,0x0ea75a,011101010011101011010
254,0x0b58a4,010110101100010100100
255,0x168b52,101101000101101010010
256,0x0965ae,010010110010110101110
257,0x12bb52,100101011101101010010
258,0x08c6ae,010001100011010101110
259,0x053935,001010011100100110101
260,0x0a648e,010100110010010001110
261,0x191b65,110010001101101100101
262,0x063292,001100011001010010010
263,0x12dc49,100101101110001001001
264,0x0cab66,011001010101101100110
265,0x0b551d,010110101010100011101
266,0x16ea76,101101110101001110110
267,0x0e9da9,011101001110110101001
268,0x11ca46,100011100101001000110
269,0x0cb5a4,011001011010110100100
270,0x026a5b,000100110101001011011
271,0x0d116e,011010001000101101110
272,0x176e93,101110110111010010011
273,0x095974,010010101100101110100
274,0x176696,101110110011010010110
275,0x0b98e9,010111001100011101001
276,0x14e745,101001110011101000101
277,0x19329a,110010011001010011010
278,0x0ecb65,011101100101101100101
279,0x0554aa,001010101010010101010
280,0x1b6351,110110110001101010001
281,0x049cee,001001001110011101110
282,0x132d51,100110010110101010001
283,0x05caee,001011100101011101110
284,0x12d5b3,100101101010110110011
285,0x1d2d5c,111010010110101011100
286,0x075ab3,001110101101010110011
287,0x1ca4ce,111001010010011001110
288,0x038bab,000111000101110101011
289,0x147475,101000111010001110101
290,0x09a2ab,010011010001010101011
291,0x17571c,101110101011100011100
292,0x08ece4,010001110110011100100
293,0x115392,100010101001110010010
294,0x06e44d,001101110010001001101
295,0x0b2bb4,010110010101110110100
296,0x146469,101000110010001101001
297,0x0b1335,010110001001100110101
298,0x16e473,101101110010001110011
299,0x135aae,100110101101010101110
300,0x04ad33,001001010110100110011
301,0x0316dd,000110001011011011101
302,0x1da526,111011010010100100110
303,0x1658e8,101100101100011101000
304,0x09a362,010011010001101100010
305,0x16dd99,101101101110110011001
306,0x05a667,001011010011001100111
307,0x124cb8,100100100110010111000
308,0x0731d6,001110011000111010110
309,0x189c6c,110001001110001101100
310,0x072baa,001110010101110101010
311,0x0cc6c7,011001100011011000111
312,0x162b2a,101100010101100101010
313,0x0b6445,010110110010001000101
314,0x049392,001001001001110010010
315,0x072965,001110010100101100101
316,0x0d5392,011010101001110010010
317,0x128cc5,100101000110011000101
318,0x1d7222,111010111001000100010
319,0x0a4549,010100100010101001001
320,0x118b3a,100011000101100111010
321,0x027657,000100111011001010111
322,0x0cb899,011001011100010011001
323,0x0a6322,010100110001100100010
324,0x1589db,101011000100111011011
325,0x1b7236,110110111001000110110
326,0x058d89,001011000110110001001
327,0x117466,100010111010001100110
328,0x0e96dc,011101001011011011100
329,0x115ba5,100010101101110100101
330,0x0e6e4e,011100110111001001110
331,0x13919d,100111001000110011101
332,0x0e6eb2,011100110111010110010
333,0x03b349,000111011001101001001
334,0x1cc6a6,111001100011010100110
335,0x03896b,000111000100101101011
336,0x057197,001010111000110010111
337,0x12ba71,100101011101001110001
338,0x0b6889,010110110100010001001
339,0x1c9554,111001001010101010100
340,0x0a68bb,010100110100010111011
341,0x119354,100011001001101010100
342,0x064933,001100100100100110011
343,0x199ae5,110011001101011100101
344,0x0e2711,011100010011100010001
345,0x1b9a46,110111001101001000110
346,0x0ec71d,011101100011100011101
347,0x1532aa,101010011001010101010
348,0x0e9d16,011101001110100010110
349,0x11265d,100010010011001011101
350,0x06b1a3,001101011000110100011
351,0x195c76,110010101110001110110
352,0x16a32b,101101010001100101011
353,0x1b18e4,110110001100011100100
354,0x11a553,100011010010101010011
355,0x165aba,101100101101010111010
356,0x03b145,000111011000101000101
357,0x0c63ae,011000110001110101110
358,0x13b473,100111011010001110011
359,0x08c91c,010001100100100011100
360,0x1716e9,101110001011011101001
361,0x08c957,010001100100101010111
362,0x11268b,100010010011010001011
363,0x18cb35,110001100101100110101
364,0x059462,001011001010001100010
365,0x1a38d4,110100011100011010100
366,0x15555b,101010101010101011011
367,0x1aaa74,110101010101001110100
368,0x0255c7,000100101010111000111
369,0x0c8a29,011001000101000101001
370,0x177146,101110111000101000110
371,0x0ea2b1,011101010001010110001
372,0x165dc6,101100101110111000110
373,0x093ab7,010010011101010110111
374,0x12e94b,100101110100101001011
375,0x1954b2,110010101010010110010
376,0x02ab27,000101010101100100111
377,0x1556c8,101010101011011001000
378,0x0ab156,010101011000101010110
379,0x146698,101000110011010011000
380,0x0899c6,010001001100111000110
381,0x066339,001100110001100111001
382,0x1c8ca6,111001000110010100110
383,0x035245,000110101001001000101
384,0x1a2d12,110100010110100010010
385,0x04722d,001000111001000101101
386,0x1389da,100111000100111011010
387,0x0a7335,010100111001100110101
388,0x114ee6,100010100111011100110
389,0x05315d,001010011000101011101
390,0x0a4ba3,010100100101110100011
391,0x0cb74c,011001011011101001100
392,0x12cd96,100101100110110010110
393,0x19332d,110010011001100101101
394,0x0e6cd4,011100110110011010100
395,0x13152e,100110001010100101110
396,0x1cda74,111001101101001110100
397,0x12a3ba,100101010001110111010
398,0x0d444c,011010100010001001100
399,0x14a376,101001010001101110110
400,0x0659cb,001100101100111001011
401,0x093716,010010011011100010110
402,0x16e92b,101101110100100101011
403,0x0b2692,010110010011010010010
404,0x05cd65,001011100110101100101
405,0x1bb2d6,110111011001011010110
406,0x0dc58c,011011100010110001100
407,0x03ba55,000111011101001010101
408,0x0c73a3,011000111001110100011
409,0x12eeec,100101110111011101100
410,0x1d3316,111010011001100010110
411,0x1a8e65,110101000111001100101
412,0x15371b,101010011011100011011
413,0x188da4,110001000110110100100
414,0x0c775a,011000111011101011010
415,0x0714b7,001110001010010110111
416,0x19bb58,110011011101101011000
417,0x1464ad,101000110010010101101
418,0x09bb17,010011011101100010111
419,0x1b5648,110110101011001001000
420,0x16a593,101101010010110010011
421,0x19396e,110010011100101101110
422,0x029695,000101001011010010101
423,0x176b6a,101110110101101101010
424,0x1a54b5,110100101010010110101
425,0x158b6e,101011000101101101110
426,0x0ee4b5,011101110010010110101
427,0x191969,110010001100101101001
428,0x064715,001100100011100010101
429,0x1131ae,100010011000110101110
430,0x16e655,101101110011001010101
431,0x0d1ba9,011010001101110101001
432,0x122463,100100010010001100011
433,0x09cedd,010011100111011011101
434,0x16b562,101101011010101100010
435,0x0cd8d5,011001101100011010101
436,0x03646b,000110110010001101011
437,0x1cd336,111001101001100110110
438,0x029cd5,000101001110011010101
439,0x1ce238,111001110001000111000
440,0x097566,010010111010101100110
441,0x1a9b89,110101001101110001001
442,0x046d56,001000110110101010110
443,0x1aa3ae,110101010001110101110
444,0x15da53,101011101101001010011
445,0x036ced,000110110110011101101
446,0x0ca396,011001010001110010110
447,0x111cc8,100010001110011001000
448,0x0cabba,011001010101110111010
449,0x1b6cc5,110110110110011000101
450,0x08bbbb,010001011101110111011
451,0x0b76c4,010110111011011000100
452,0x14dd52,101001101110101010010
453,0x1ba335,110111010001100110101
454,0x0c44da,011000100010011011010
455,0x11ab74,100011010101101110100
456,0x07762b,001110111011000101011
457,0x16b9d8,101101011100111011000
458,0x116a26,100010110101000100110
459,0x0a9599,010101001010110011001
460,0x055a2e,001010101101000101110
461,0x18a469,110001010010001101001
462,0x1451d4,101000101000111010100
463,0x1a6c4a,110100110110001001010
464,0x199765,110011001011101100101
465,0x046893,001000110100010010011
466,0x0ba35c,010111010001101011100
467,0x1552e2,101010101001011100010
468,0x1bb998,110111011100110011000
469,0x0646a6,001100100011010100110
470,0x199359,110011001001101011001
471,0x071ca5,001110001110010100101
472,0x18b248,110001011001001001000
473,0x07193a,001110001100100111010
474,0x1b46a5,110110100011010100101
475,0x0c99db,011001001100111011011
476,0x157626,101010111011000100110
477,0x12cec9,100101100111011001001
478,0x1b3974,110110011100101110100
479,0x05d6d9,001011101011011011001
480,0x093ba2,010010011101110100010
481,0x0ac56d,010101100010101101101
482,0x0d3453,011010011010001010011
483,0x12dda9,100101101110110101001
484,0x0d115b,011010001000101011011
485,0x14ce62,101001100111001100010
486,0x0a34ac,010100011010010101100
487,0x19c95a,110011100100101011010
488,0x15b3a4,101011011001110100100
489,0x0e6449,011100110010001001001
490,0x1b8ab5,110111000101010110101
491,0x04e74e,001001110011101001110
492,0x1b15b6,110110001010110110110
493,0x0ce8ea,011001110100011101010
494,0x132651,100110010011001010001
495,0x145b2e,101000101101100101110
496,0x0b14c7,010110001010011000111
497,0x04abb1,001001010101110110001
498,0x1a5249,110100101001001001001
499,0x1db734,111011011011100110100
500,0x0445cb,001000100010111001011
501,0x18d225,110001101001000100101
502,0x112d48,100010010110101001000
503,0x0ac6b4,010101100011010110100
504,0x111963,100010001100101100011
505,0x0ed734,011101101011100110100
506,0x1151d9,100010101000111011001
507,0x073b46,001110011101101000110
508,0x19ca39,110011100101000111001
509,0x149946,101001001100101000110
510,0x0b76e3,010110111011011100011
511,0x11a99c,100011010100110011100
512,0x0ed2ee,011101101001011101110
513,0x1b2759,110110010011101011001
514,0x1649ac,101100100100110101100
515,0x139773,100111001011101110011
516,0x0e58ed,011100101100011101101
517,0x114758,100010100011101011000
518,0x0da8ab,011011010100010101011
519,0x1a4755,110100100011101010101
520,0x08b98a,010001011100110001010
521,0x1176d9,100010111011011011001
522,0x0bab26,010111010101100100110
523,0x175cda,101110101110011011010
524,0x0dba65,011011011101001100101
525,0x175d88,101110101110110001000
526,0x0a32d2,010100011001011010010
527,0x14ad49,101001010110101001001
528,0x0e54d7,011100101010011010111
529,0x1da948,111011010100101001000
530,0x0a94b6,010101001010010110110
531,0x0d6389,011010110001110001001
532,0x169d34,101101001110100110100
533,0x05744b,001010111010001001011
534,0x029ab7,000101001101010110111
535,0x15b5d1,101011011010111010001
536,0x1b6b2a,110110110101100101010
537,0x069c91,001101001110010010001
538,0x1d3a68,111010011101001101000
539,0x06a4d7,001101010010011010111
540,0x1b5a62,110110101101001100010
541,0x16e71d,101101110011100011101
542,0x1b1146,110110001000101000110
543,0x05ca9d,001011100101010011101
544,0x1d1132,111010001000100110010
545,0x1aeec4,110101110111011000100
546,0x071b1b,001110001101100011011
547,0x0cc456,011001100010001010110
548,0x113aec,100010011101011101100
549,0x0e5919,011100101100100011001
550,0x116263,100010110001001100011
551,0x0e5d1c,011100101110100011100
552,0x153671,101010011011001110001
553,0x098d8e,010011000110110001110
554,0x123175,100100011000101110101
555,0x11dc89,100011101110010001001
556,0x16e772,101101110011101110010
557,0x1916c5,110010001011011000101
558,0x046a2e,001000110101000101110
559,0x03b1d9,000111011000111011001
560,0x0e4c6c,011100100110001101100
561,0x053693,001010011011010010011
562,0x1ab934,110101011100100110100
563,0x0576ad,001010111011010101101
564,0x1a8c51,110101000110001010001
565,0x0476b2,001000111011010110010
566,0x11895c,100011000100101011100
567,0x0e26a2,011100010011010100010
568,0x114d16,100010100110100010110
569,0x06a289,001101010001010001001
570,0x1148d6,100010100100011010110
571,0x0aa449,010101010010001001001
572,0x059db6,001011001110110110110
573,0x124645,100100100011001000101
574,0x0d1d8a,011010001110110001010
575,0x02ec55,000101110110001010101
576,0x08b2b2,010001011001010110010
577,0x02552d,000100101010100101101
578,0x19b654,110011011011001010100
579,0x0259a7,000100101100110100111
580,0x18b354,110001011001101010100
581,0x06546a,001100101010001101010
582,0x0bbb94,010111011101110010100
583,0x112469,100010010010001101001
584,0x06edd2,001101110110111010010
585,0x097315,010010111001100010101
586,0x069d6b,001101001110101101011
587,0x11ce9c,100011100111010011100
588,0x0c6546,011000110010101000110
589,0x12cbb5,100101100101110110101
590,0x0cb5db,011001011010111011011
591,0x026a35,000100110101000110101
592,0x08958e,010001001010110001110
593,0x173b55,101110011101101010101
594,0x18c9a2,110001100100110100010
595,0x03271d,000110010011100011101
596,0x149a23,101001001101000100011
597,0x1b11dc,110110001000111011100
598,0x02e6a7,000101110011010100111
599,0x1ce95a,111001110100101011010
600,0x0a9645,010101001011001000101
601,0x112d12,100010010110100010010
602,0x0b92db,010111001001011011011
603,0x062b6d,001100010101101101101
604,0x05dc91,001011101110010010001
605,0x1b726e,110110111001001101110
606,0x02c515,000101100010100010101
607,0x0738ab,001110011100010101011
608,0x15d746,101011101011101000110
609,0x0aaed1,010101010111011010001
610,0x117123,100010111000100100011
611,0x0e6eda,011100110111011011010
612,0x11594d,100010101100101001101
613,0x08a6b6,010001010011010110110
614,0x175a29,101110101101000101001
615,0x16b596,101101011010110010110
616,0x1362e8,100110110001011101000
617,0x14bb19,101001011101100011001
618,0x0b6466,010110110010001100110
619,0x04aa99,001001010101010011001
620,0x114d63,100010100110101100011
621,0x14b118,101001011000100011000
622,0x074676,001110100011001110110
623,0x19ab19,110011010101100011001
624,0x1334d6,100110011010011010110
625,0x0ced6c,011001110110101101100
626,0x1312cb,100110001001011001011
627,0x18e954,110001110100101010100
628,0x03b22b,000111011001000101011
629,0x1a5d9d,110100101110110011101
630,0x053a26,001010011101000100110
631,0x12e499,100101110010010011001
632,0x0e9ba7,011101001101110100111
633,0x1d344c,111010011010001001100
634,0x02eb11,000101110101100010001
635,0x0d44ac,011010100010010101100
636,0x13a973,100111010100101110011
637,0x0cd66a,011001101011001101010
638,0x1169d5,100010110100111010101
639,0x16b72e,101101011011100101110
640,0x0988c5,010011000100011000101
641,0x06659a,001100110010110011010
642,0x195274,110010101001001110100
643,0x074c8b,001110100110010001011
644,0x09a324,010011010001100100100
645,0x174ad9,101110100101011011001
646,0x08e563,010001110010101100011
647,0x134b98,100110100101110011000
648,0x16b926,101101011100100100110
649,0x09cc53,010011100110001010011
650,0x12b765,100101011011101100101
651,0x0b59ab,010110101100110101011
652,0x16265c,101100010011001011100
653,0x0dd125,011011101000100100101
654,0x12adca,100101010110111001010
655,0x053235,001010011001000110101
656,0x16d54a,101101101010101001010
657,0x0b6b97,010110110101110010111
658,0x14956d,101001001010101101101
659,0x0b62a3,010110110001010100011
660,0x1c971c,111001001011100011100
661,0x06e5a3,001101110010110100011
662,0x198ed4,110011000111011010100
663,0x05512d,001010101000100101101
664,0x1ba655,110111010011001010101
665,0x16cb29,101101100101100101001
666,0x092d47,010010010110101000111
667,0x065269,001100101001001101001
668,0x0caa94,011001010101010010100
669,0x0b5763,010110101011101100011
670,0x1ce294,111001110001010010100
671,0x0b572a,010110101011100101010
672,0x18e291,110001110001010010001
673,0x16a96a,101101010100101101010
674,0x095897,010010101100010010111
675,0x14bb62,101001011101101100010
676,0x094b8d,010010100101110001101
677,0x063a69,001100011101001101001
678,0x0da717,011011010011100010111
679,0x1a4aa9,110100100101010101001
680,0x0c7536,011000111010100110110
681,0x072a89,001110010101010001001
682,0x08da67,010001101101001100111
683,0x152539,101010010010100111001
684,0x0e92c4,011101001001011000100
685,0x116d5b,100010110110101011011
686,0x1a32ac,110100011001010101100
687,0x0d5b73,011010101101101110011
688,0x1736a8,101110011011010101000
689,0x044e77,001000100111001110111
690,0x0bb1dc,010111011000111011100
691,0x06ce65,001101100111001100101
692,0x0d34aa,011010011010010101010
693,0x1a594d,110100101100101001101
694,0x06e2bb,001101110001010111011
695,0x1d5644,111010101011001000100
696,0x028bb3,000101000101110110011
697,0x0971cc,010010111000111001100
698,0x1a8a72,110101000101001110010
699,0x0c528d,011000101001010001101
700,0x134cca,100110100110011001010
701,0x1ca538,111001010010100111000
702,0x071a56,001110001101001010110
703,0x0263a9,000100110001110101001
704,0x191cb4,110010001110010110100
705,0x044b45,001000100101101000101
706,0x0aad9b,010101010110110011011
707,0x175a4e,101110101101001001110
708,0x0ce575,011001110010101110101
709,0x112a9c,100010010101010011100
710,0x0cd55a,011001101010101011010
711,0x152aad,101010010101010101101
712,0x08d19a,010001101000110011010
713,0x166c51,101100110110001010001
714,0x0b3376,010110011001101110110
715,0x16ccd1,101101100110011010001
716,0x1b374e,110110011011101001110
717,0x0dd899,011011101100010011001
718,0x14e6ee,101001110011011101110
719,0x091b14,010010001101100010100
720,0x1c4c4a,111000100110001001010
721,0x0a31dd,010100011000111011101
722,0x11cb2e,100011100101100101110
723,0x0d145d,011010001010001011101
724,0x1a5aa4,110100101101010100100
725,0x05cd59,001011100110101011001
726,0x0a28aa,010100010100010101010
727,0x1745dc,101110100010111011100
728,0x092a93,010010010101010010011
729,0x125555,100100101010101010101
730,0x0caeac,011001010111010101100
731,0x095353,010010101001101010011
732,0x189c8c,110001001110010001100
733,0x0d2969,011010010100101101001
734,0x11d19c,100011101000110011100
735,0x0b8e53,010111000111001010011
736,0x1715b9,101110001010110111001
737,0x08da6c,010001101101001101100
738,0x1315da,100110001010111011010
739,0x0c8d35,011001000110100110101
740,0x1772cb,101110111001011001011
741,0x189dd4,110001001110111010100
742,0x126e3a,100100110111000111010
743,0x0b88cc,010111000100011001100
744,0x115b22,100010101101100100010
745,0x06adcb,001101010110111001011
746,0x197294,110010111001010010100
747,0x06ec47,001101110110001000111
748,0x135bb9,100110101101110111001
749,0x08e64e,010001110011001001110
750,0x065895,001100101100010010101
751,0x093462,010010011010001100010
752,0x06d9dd,001101101100111011101
753,0x0996b2,010011001011010110010
754,0x045c5d,001000101110001011101
755,0x1692b2,101101001001010110010
756,0x034d9d,000110100110110011101
757,0x1cdaea,111001101101011101010
758,0x022e57,000100010111001010111
759,0x1473a8,101000111001110101000
760,0x0b9c52,010111001110001010010
761,0x112b89,100010010101110001001
762,0x1ad664,110101101011001100100
763,0x032ddb,000110010110111011011
764,0x19da69,110011101101001101001
765,0x174cb6,101110100110010110110
766,0x05b169,001011011000101101001
767,0x1a3892,110100011100010010010
768,0x12c669,100101100011001101001
769,0x059c9a,001011001110010011010
770,0x0b732d,010110111001100101101
771,0x188c56,110001000110001010110
772,0x176ab9,101110110101010111001
773,0x0ad44c,010101101010001001100
774,0x154b95,101010100101110010101
775,0x0bb9ca,010111011100111001010
776,0x1555b5,101010101010110110101
777,0x18aa8c,110001010101010001100
778,0x067171,001100111000101110001
779,0x1dc8ce,111011100100011001110
780,0x123b18,100100011101100011000
781,0x098ee7,010011000111011100111
782,0x1d711a,111010111000100011010
783,0x09aec5,010011010111011000101
784,0x1d55ba,111010101010110111010
785,0x068b51,001101000101101010001
786,0x19b5a2,110011011010110100010
787,0x064edd,001100100111011011101
788,0x1d194a,111010001100101001010
789,0x02d229,000101101001000101001
790,0x19cd56,110011100110101010110
791,0x1b3269,110110011001001101001
792,0x0ccca7,011001100110010100111
793,0x15225a,101010010001001011010
794,0x0ae52e,010101110010100101110
795,0x1488dd,101001000100011011101
796,0x13bb62,100111011101101100010
797,0x095cdd,010010101110011011101
798,0x13aa2c,100111010101000101100
799,0x0c514b,011000101000101001011
800,0x19abac,110011010101110101100
801,0x024e4b,000100100111001001011
802,0x0993b4,010011001001110110100
803,0x162d5a,101100010110101011010
804,0x1b5ac5,110110101101011000101
805,0x18ab38,110001010101100111000
806,0x06c4e6,001101100010011100110
807,0x188939,110001000100100111001
808,0x1d3656,111010011011001010110
809,0x0288e5,000101000100011100101
810,0x1c5598,111000101010110011000
811,0x0b8ec6,010111000111011000110
812,0x0d5db9,011010101110110111001
813,0x198b46,110011000101101000110
814,0x0974d9,010010111010011011001
815,0x1d8b2c,111011000101100101100
816,0x025a97,000100101101010010111
817,0x0ba56c,010111010010101101100
818,0x146e33,101000110111000110011
819,0x0a9344,010101001001101000100
820,0x0526ea,001010010011011101010
821,0x198991,110011000100110010001
822,0x0c56ce,011000101011011001110
823,0x031973,000110001100101110011
824,0x1dc5d8,111011100010111011000
825,0x051b25,001010001101100100101
